Index,SpellChecker,Original,Corrected,Predicted,Levenshtein Distance,Accuracy,Exact Match
0,PySpellChecker,tsnog bjos data pushes uastralain dollar higher,stong jobs data pushes australian dollar higher,snog boos data pushes uastralain dollar higher,0.8695652173913043,12.76595744680851,False
0,TextBlob,tsnog bjos data pushes uastralain dollar higher,stong jobs data pushes australian dollar higher,snow boy data pushes australian dollar higher,0.9333333333333333,6.382978723404255,False
0,SymSpell,tsnog bjos data pushes uastralain dollar higher,stong jobs data pushes australian dollar higher,snog bios data pushes australian dollar higher,0.9130434782608695,8.51063829787234,False
0,PyEnchat,tsnog bjos data pushes uastralain dollar higher,stong jobs data pushes australian dollar higher,snog jobs data pushes Australasian dollar higher,0.9361702127659575,6.382978723404255,False
1,PySpellChecker,student chafgeV with %sxi drivers murder,student charged with taxi drivers murder,student change with six drivers murder,0.6578947368421053,32.5,False
1,TextBlob,student chafgeV with %sxi drivers murder,student charged with taxi drivers murder,student changes with %six drivers murder,0.15,85.0,False
1,SymSpell,student chafgeV with %sxi drivers murder,student charged with taxi drivers murder,student change with six drivers murder,0.6578947368421053,32.5,False
1,PyEnchat,student chafgeV with %sxi drivers murder,student charged with taxi drivers murder,student chafe with Axis drivers murder,0.7105263157894737,27.500000000000004,False
2,PySpellChecker,ofru teens chragde over sexual assault,four teens charged over sexual assault,of teens charge over sexual assault,0.9428571428571428,5.263157894736842,False
2,TextBlob,ofru teens chragde over sexual assault,four teens charged over sexual assault,of tens charge over sexual assault,0.9705882352941176,2.631578947368421,False
2,SymSpell,ofru teens chragde over sexual assault,four teens charged over sexual assault,of teens charge over sexual assault,0.9428571428571428,5.263157894736842,False
2,PyEnchat,ofru teens chragde over sexual assault,four teens charged over sexual assault,four teens charade over sexual assault,0.07894736842105263,92.10526315789474,False
3,PySpellChecker,two years to restite power to irsa minKst#r,two years to restore power to iraq minister,two years to respite power to is minister,0.2926829268292683,67.44186046511628,False
3,TextBlob,two years to restite power to irsa minKst#r,two years to restore power to iraq minister,two years to restive power to isa midst#r,0.2682926829268293,69.76744186046511,False
3,SymSpell,two years to restite power to irsa minKst#r,two years to restore power to iraq minister,two years to respite power to ira minister,0.2857142857142857,69.76744186046511,False
3,PyEnchat,two years to restite power to irsa minKst#r,two years to restore power to iraq minister,two years to restate power to airs Pinkster,0.18604651162790697,81.3953488372093,False
